epoch,train_loss,train_acc,val_loss,val_acc,val_auc
1,0.5977082804162868,0.662962962962963,0.5092660133546661,0.7103882476390346,0.9193369949634602
2,0.39148777125898404,0.810750573582432,0.2692136989596222,0.8787288262629291,0.9591310102843968
3,0.30675198380105495,0.8584726319239594,0.21183076457111683,0.9054114825363514,0.9727326353575709
4,0.24432897074267107,0.8893805309734514,0.20832532886407343,0.9105081696897017,0.9773530154944865
5,0.20198922519682275,0.9093411996066864,0.136672160839359,0.9391395592864638,0.9886985836361462
6,0.1762472344202825,0.9227138643067847,0.11158462595839566,0.9482836156498277,0.9926978714526833
7,0.1431663306291398,0.9387086201245494,0.13040041009930545,0.9395892669764653,0.9942155326134167
8,0.13084147375398134,0.9449688626679777,0.09097047758824356,0.9608754309698696,0.9962850460356468
9,0.11169721397785858,0.9527695837430351,0.08256446701389188,0.9650727027432169,0.9959660022318679
10,0.10106946927324666,0.9576532284496886,0.06676184862579583,0.9698695847698996,0.997879995288079
11,0.0873647925734852,0.9630940675188463,0.06264159063039522,0.9724179283465747,0.9981149618775027
12,0.07839927874317484,0.9668960996394624,0.05125662220719872,0.9770649078099235,0.9985014472970748
13,0.06785359413508645,0.9721402818747952,0.04683653984831434,0.9779643231899265,0.9988543917530595
14,0.06326036419144364,0.9742051786299574,0.04141520561932124,0.9814120821466047,0.9989961989905339
15,0.055509927342833554,0.9771878072763028,0.040286835960417273,0.9841103282866137,0.9990345058283044
16,0.052518551898995056,0.9779088823336611,0.039048141861154906,0.9796132513865987,0.9992235221968343
17,0.0475793624889583,0.97984267453294,0.030205452168314842,0.9871083795532903,0.9994784515045325
18,0.044231010296344464,0.9819075712881022,0.029954419181637635,0.9862089641732874,0.999464288765216
19,0.038669240255408195,0.9842346771550311,0.03068615307688284,0.9854594513566182,0.9995056979173129
20,0.03710470312210584,0.9843330055719436,0.030634185508967984,0.9869584769899565,0.9994572298760963
21,0.03250684620826577,0.9866601114388726,0.028060797061656675,0.9874081846799581,0.9996588353462407
22,0.03021230416734752,0.987151753523435,0.026623010587630162,0.9877079898066257,0.999645796633854
23,0.026813318132707053,0.989249426417568,0.03369720595613906,0.9860590616099535,0.9995116327795027
24,0.02775459347841623,0.989052769583743,0.023475330410235657,0.989207015439964,0.999716835135823
25,0.02360556991725839,0.9908554572271386,0.024601963688212478,0.9881576974966272,0.9997069436988398
26,0.022610651687128266,0.9912159947558178,0.021005687844960333,0.9917553590166391,0.9997567605723725
27,0.024469484039956246,0.9904949196984595,0.020326543944686644,0.9917553590166391,0.9997583791711515
28,0.02304079745423326,0.9911504424778761,0.020398959549658504,0.9914555538899715,0.9997661124764291
29,0.020695374518881975,0.9917076368403802,0.020437753885948682,0.9920551641433069,0.9997570303388357
30,0.021578048101389156,0.9912487708947886,0.02003345259820858,0.9917553590166391,0.9997665620872012
